W,NL,Class
ink,3.0,Word
fog,3.0,Word
bit,3.0,Word
elf,3.0,Word
job,3.0,Word
jog,3.0,Word
lean,4.0,Word
pall,4.0,Word
rick,4.0,Word
tidy,4.0,Word
hurt,4.0,Word
make,4.0,Word
lord,4.0,Word
chic,4.0,Word
vase,4.0,Word
tray,4.0,Word
left,4.0,Word
bomb,4.0,Word
bole,4.0,Word
army,4.0,Word
rate,4.0,Word
cord,4.0,Word
slag,4.0,Word
raid,4.0,Word
mica,4.0,Word
dawn,4.0,Word
rifle,5.0,Word
ditch,5.0,Word
mucus,5.0,Word
crumb,5.0,Word
stern,5.0,Word
march,5.0,Word
carat,5.0,Word
proud,5.0,Word
would,5.0,Word
caste,5.0,Word
smell,5.0,Word
trail,5.0,Word
crowd,5.0,Word
water,5.0,Word
waive,5.0,Word
cabin,5.0,Word
onion,5.0,Word
forth,5.0,Word
heavy,5.0,Word
wreck,5.0,Word
cloud,5.0,Word
whoop,5.0,Word
allow,5.0,Word
quire,5.0,Word
minor,5.0,Word
short,5.0,Word
violin,6.0,Word
listen,6.0,Word
meadow,6.0,Word
rector,6.0,Word
garret,6.0,Word
loafer,6.0,Word
street,6.0,Word
gaiety,6.0,Word
finite,6.0,Word
dagger,6.0,Word
wiggle,6.0,Word
orchid,6.0,Word
morgue,6.0,Word
burlap,6.0,Word
cinder,6.0,Word
punish,6.0,Word
victim,6.0,Word
mister,6.0,Word
gasket,6.0,Word
perish,6.0,Word
scheme,6.0,Word
gadfly,6.0,Word
tailor,6.0,Word
signal,6.0,Word
cotton,6.0,Word
kindle,6.0,Word
bishop,6.0,Word
aerial,6.0,Word
mystic,6.0,Word
vanity,6.0,Word
hunger,6.0,Word
safety,6.0,Word
course,6.0,Word
troupe,6.0,Word
cabbage,7.0,Word
discord,7.0,Word
however,7.0,Word
tyranny,7.0,Word
bristle,7.0,Word
leopard,7.0,Word
episode,7.0,Word
million,7.0,Word
succour,7.0,Word
edition,7.0,Word
soldier,7.0,Word
outcome,7.0,Word
